,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
38,,기프트, 정이리이리,"스포츠, 드라마, 능력",다음 웹툰,"선수들의 등급과 능력을 볼 수 있는 감독과, 선수들의 고교야구 이야기",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/7c970300ffb2c5850c0274c6658d2855a395c3da,http://webtoon.daum.net/webtoon/view/gift
39,,너를 기다리는 날, 복복,"순정, 판타지, 사랑",다음 웹툰,10년 전 99일 간 실종되었던 하윤은 자신이 실종되었던 장소에서 기묘한 또래 남자아이를 만나게 된다.,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/c2ab7cb1b3a808a9a900eff39bfecff8a4199731,http://webtoon.daum.net/webtoon/view/waitU
40,,너에게 투 혼(魂)!, 롱토피아,"학원, 액션, 빙의",다음 웹툰,남고생이 된 액션배우 옥세라. 어쩔 수 없지! 내가 네 학교생활을 책임져줄게!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/df83895ab8337fd9204cde874f518888a76efdcd,http://webtoon.daum.net/webtoon/view/soultoyou
41,,후크, 나진수,"판타지, 액션, 혁명",다음 웹툰,마법사와 마도 공학자들의 끝없는 전쟁. 몰락한 네버랜딩을 구하기 위한 혁명이 시작된다.,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/92eef75a3b8f3c6d846ad21072ca5744a8c77b2a,http://webtoon.daum.net/webtoon/view/TheHook
42,,남남, 정영롱,"드라마, 코믹, 여자들",다음 웹툰,때론 정말 남이고 싶지만 남일 수 없는 이 관계,19.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/7fc87c87327f6d4408ddd0176073f684147551f7,http://webtoon.daum.net/webtoon/view/namnam
43,,프레너미, 돌석,"스포츠, 드라마, 테니스",다음 웹툰,"거만한 천재 소년과 심약한 은둔 고수와의 만남, 재능과 노력만으론 최고가 될 수 없다!",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/f85653e3762639b0d3876855f00afff6bf2ab7cc,http://webtoon.daum.net/webtoon/view/Frenemy
44,,구원, Axis,"판타지, 드라마, 복제인간",다음 웹툰,"복제인간 카피와 사랑에 빠진 순정마초 킬러, 그녀를 위해 세상에 맞서다.",19.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/58f3dfdec13b5ff7207b83a766b954da66d20d25,http://webtoon.daum.net/webtoon/view/rescue
45,,나 홀로 버그로 꿀빠는 플레이어, 청초/오둥둥,"액션, 판타지, 게임",다음 웹툰,"성공할 수 있다면, 버그든 무엇이든 OK! 초고도비만 영주의 현생 도전기.",0.0,8.1,1.0,0.0,http://t1.daumcdn.net/webtoon/op/9a62d32e0732fdf644655cb8ddd98a98d1e0accc,http://webtoon.daum.net/webtoon/view/bugplayer
46,,개목걸이, 김종욱/만두,"액션, 학원, 일진",다음 웹툰,저마다의 사정으로 피 튀는 싸움판에 뛰어든 소년들. 갖고 싶다면 뺏어라!,0.0,9.3,1.0,0.0,http://t1.daumcdn.net/webtoon/op/917fca8008aede1baab5f3a3b191439f44f8f38f,http://webtoon.daum.net/webtoon/view/dogcollar
47,,논현동 장사꾼, 김영현/아론/구김,"드라마, 장사, 요리",다음 웹툰,장사를 4번이나 말아먹었다. 그런데 이 괴팍한 할머니가 장사의 신이라고? 제발 제자로 받아주세요!,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/ccd877c947887ff4aecbfcb299610885379920dc,http://webtoon.daum.net/webtoon/view/nonhyeonbusiness
48,,악한 기사, 글가애/김랄라,"순정, 판타지, 복수",다음 웹툰,대형견 순정남 황제와 악바리 기사의 로맨스,0.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/31ef5679a07e12a82069c786dde2ae617e2e850f,http://webtoon.daum.net/webtoon/view/evilknight
49,,환상의 아이들, 김다,"학원, 공포, 퇴마",다음 웹툰,"귀신이라면 지긋지긋한 태경, 저주받은 학교에서 귀신보다 위험한 놈과 엮였다",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/e4c1f278570ce99f8ef939f8476c3afd1345c746,http://webtoon.daum.net/webtoon/view/visionchildren
50,,그 책에 마음을 주지 마세요, 문시현/임조조,"순정, 드라마, 판타지, 복수",다음 웹툰,우연히 주운 일기장이 미래를 예지한다. 책 속 폭군이 나를 죽일 거라고?,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/2e7acaf2c35216c197874174a5ba331bb9447dfc,http://webtoon.daum.net/webtoon/view/dontgiveheart
51,,봄날의 팔광, 우표,"순정, 판타지, 연애",다음 웹툰,"'해와 달' 속 달님, 천방지축 선녀와 지상 최대 싸가지 남자가 펼치는 판타지 로맨스!",0.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/36bb7dfa477e589f818507d4b80f35d5c867d851,http://webtoon.daum.net/webtoon/view/springdays
52,,해피하우스, 장삥준,"스릴러, 드라마, 비밀",다음 웹툰,"인생 패배자 고덕봉, 현실에서 도망쳐 온 폐가의 귀신으로 거듭나며 제 2의 인생을 찾는 듯 하다.",0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/adc6e39cde3b50e9a082494ec42f09566f75729d,http://webtoon.daum.net/webtoon/view/happyhouse
53,,크레센도, 김탐미,"스릴러, 로맨스, 대학생",다음 웹툰,다 가진 여자와 다 뺏고 싶은 남자의 질투와 사랑,19.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/9c6ce8c91d1f335064a180eb886f4c66e9fc95ea,http://webtoon.daum.net/webtoon/view/crescendo
54,,무지개다리 파수꾼, 이서,"드라마, 반려동물, 의학",다음 웹툰,"돈과 성공만을 전부로 알던 유명 수의사 한철은, 어느 날 동물들의 소리를 들을 수 있게 되는데...",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/b67da1bf607208148a056aa2ff2651cb6016f1d0,http://webtoon.daum.net/webtoon/view/mujigaebridge
55,,신의 태궁, 해소금,"순정, 판타지, 동양",다음 웹툰,"신의 아이를 낳아 기르는 여인과, 그를 사랑한 도깨비의 이야기",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/01b646d057064c35008f3ca62081d6396d1b4600,http://webtoon.daum.net/webtoon/view/godbaby
56,,불러줘 내 이름만, 꿀삼,"순정, 드라마, 사랑",다음 웹툰,첫사랑을 따라 대학에 왔더니 내 강아지와 이름이 똑같은 선배가?!,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/430a753d394bdc4aa52098551c0072c85cc074fd,http://webtoon.daum.net/webtoon/view/callmyname
57,,파륜아이, 박은비,"스릴러, 드라마, 타임슬립",다음 웹툰,부모를 살해한 형. 형이 부모를 죽일 수 밖에 없었던 진실과 마주친다.,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/2073c7901e42e6634063044154b8ab7b9356b20f,http://webtoon.daum.net/webtoon/view/immorality
58,,주간소년열애사, 박시인,"순정, 드라마, 연애",다음 웹툰,"한 집에 사는 고등학생 5명의 '열애치정 드라마', 매주 금요일에 찾아갑니다.",0.0,9.9,0.0,1.0,http://t1.daumcdn.net/webtoon/op/9c88c68bf8d0bed8abaff128737eb9f5f4a3c7db,http://webtoon.daum.net/webtoon/view/weeklyboys
59,,너에게 가는 거리 2091km, 빵시헌,"순정, 드라마, 연애",다음 웹툰,홍콩과 서울을 오가는 두 사람의 달콤씁쓸한 성장로맨스,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/a15662f4148dba6b06149fbff0a5ebf3874c1f64,http://webtoon.daum.net/webtoon/view/toyou2091
60,,플러스 마이너스 제로, 하민석/마영신/이현중,"스릴러, 드라마, 재난",다음 웹툰,지진으로 학교가 땅속에 묻혔다. 누구의 짓이지?,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/0a6c8f29814d5c98f9215223dc30121fd47d9b4e,http://webtoon.daum.net/webtoon/view/plusminuszero
61,,슬프게도 이게 내 인생, 슬,"코믹, 일상, 직장생활",다음 웹툰,어? 사회생활이 원래 이런가? 천방지축 사회초년생 슬이의 다이나믹 인생!,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/49ab1a48fc6440d6ef94e0c17684ac432b253a75,http://webtoon.daum.net/webtoon/view/whatasadlife
62,,정의는 죽지 않는다, 크레용/경우,"액션, 학원, 노인",다음 웹툰,시시한 10대의 학원 액션은 끝났다. 묵직한 연륜의 액션이 온다,0.0,9.6,1.0,0.0,http://t1.daumcdn.net/webtoon/op/e886203be5702aaa24048f463ad89de72799e663,http://webtoon.daum.net/webtoon/view/justice
63,,이세계 전담반, 손희준/택,"판타지, 액션, 초능력",다음 웹툰,어느날 평범한 일상에 판타지적인 현상이 일어나기 시작했다. 내 방에 엘프가 몰래 숨어살고 있다고?,0.0,9.2,1.0,0.0,http://t1.daumcdn.net/webtoon/op/653dc59fe5f4766a4b2cd7c357e5bd7894d7a55c,http://webtoon.daum.net/webtoon/view/otherworld
64,,이상징후, 잇선,"드라마, 판타지, 능력",다음 웹툰,인생이 지옥 같다면 이상 현상이 벌어진다. 다음은 당신 차례일지도,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/e5ea4fbd9a55a927bbd71e33947c8685068f4f08,http://webtoon.daum.net/webtoon/view/symptom
65,,선택은 하나, 박만두,"미스터리, 로맨스, 미래",다음 웹툰,미래를 보는 ‘하나’. 그를 구하기 위해 최악의 선택을 해야 한다.,0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/58a3190a5b6ca158846abd18f23bb294bc00b1ff,http://webtoon.daum.net/webtoon/view/onechoice
66,,사랑하는 존재, 향유 크리에이티브,"드라마, 순정, 사랑",다음 웹툰,심장 이식 수술을 받은 소유. 이식받은 심장이 같은 반 남자애 아빠의 심장이라고?,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/97c448b241bb5a881491be302a61ba19829e236a,http://webtoon.daum.net/webtoon/view/loving
67,,뱀파이어님의 대리식사, 멜리/웬즈데이,"순정, 판타지, 뱀파이어",다음 웹툰,대학생 시영이와 외로운 뱀파이어의 심쿵 먹방 동거생활!,0.0,9.5,1.0,0.0,http://t1.daumcdn.net/webtoon/op/cdb2f87c08a1055379daba1bbd0b261c649c1c88,http://webtoon.daum.net/webtoon/view/vampiredinner
