,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
40,,현세이의 보이는 라디오, 이제환/부족,"드라마, 일상, 질병",다음 웹툰,스트리머 현세이의 일상 소통 이야기,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/7a273270d7ffec14030e512a4800a81625ff802b,http://webtoon.daum.net//webtoon/view/favorite
41,,체벌교사, 시노키오/홍솔민,"학원, 액션, 선생님",다음 웹툰,무너진 교권과 체계를 바로잡기 위해 '천의 고'에 발령받은 체벌 교사 '최강인'의 특별한 야간 자율학습이 시작된다.,0,8.4,1,0,http://t1.daumcdn.net/webtoon/op/05761c7ec136104321a4ba7b32aad08ee408a4db,http://webtoon.daum.net//webtoon/view/favorite
42,,함께 춤을, 도연,"순정, 댄스, 복수",다음 웹툰,운명의 파트너를 만나 <댄스 위드 미> 우승을 거머쥘 수 있을까?,0,9.7,1,0,http://t1.daumcdn.net/webtoon/op/02f15545a73a5206eb1bcf0fc7be0eadb44e504f,http://webtoon.daum.net//webtoon/view/favorite
43,,록산, 백작,"미스터리, 스릴러, 로맨스",다음 웹툰,"어머니의 죽음과 함께 찾아온 여자, 록산은 막시밀리안의 삶을 통째로 흔들어 놓기 시작한다.",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/f0300acdccbac865f6dcbab398fc01ed03ce727f,http://webtoon.daum.net//webtoon/view/favorite
44,,21’ LCK 서머 : Summer is Coming," 빛돌, 뽈쟁이, 제카y","스포츠, 게임, 서바이벌",다음 웹툰,2021년 LCK 서머 스플릿 공식 웹툰 매주 핫한 경기 리뷰와 비하인드 스토리 대방출!,0,9.3,1,0,http://t1.daumcdn.net/webtoon/op/acc0277bb7244847e9cd449db849d32f4f1fb2b7,http://webtoon.daum.net//webtoon/view/favorite
45,,쓰레기 머학생, 수레기,"일상, 학원, 대학생",다음 웹툰,다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,0,7.8,1,0,http://t1.daumcdn.net/webtoon/op/7ca2a8ee87adc700336244c1a0aa3955305cb3a3,http://webtoon.daum.net//webtoon/view/favorite
46,,그 책에 마음을 주지 마세요, 문시현/임조조,"순정, 드라마, 판타지, 복수",다음 웹툰,우연히 주운 일기장이 미래를 예지한다. 책 속 폭군이 나를 죽일 거라고?,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/2e7acaf2c35216c197874174a5ba331bb9447dfc,http://webtoon.daum.net//webtoon/view/favorite
47,,재벌과의 인터뷰, 우다,"순정, 드라마, 재벌",다음 웹툰,재벌 납치 감금물 작가가 재벌남의 은인이 되었다?!,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/d76b802e01afbce887c027344dbe8f53aa9a388a,http://webtoon.daum.net//webtoon/view/favorite
48,,불합격인간, Sepia,"드라마, 가족, 백수",다음 웹툰,"불합격 인간인 나 자신도, 언젠간 바뀔 수 있는 걸까?",0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/f7b4d0b26ac9f8b820b0567479964a7ea5072503,http://webtoon.daum.net//webtoon/view/favorite
49,,쥐덫, 오닛,"학원, 스릴러, 스토커",다음 웹툰,어차피 세상에 제정신인 놈들은 없다.,19,7.5,1,0,http://t1.daumcdn.net/webtoon/op/2db170f5ebb43236cb2ae373cca917840338ae0c,http://webtoon.daum.net//webtoon/view/favorite
